TICKER,CUSIP,CNAME,OFTIC,ACTDATS,ESTIMID,ANALYST,ERECCD,ETEXT,IRECCD,ITEXT,EMASKCD,AMASKCD,USFIRM,ACTTIMS,REVDATS,REVTIMS,ANNDATS,ANNTIMS
MSFT,59491810,MICROSOFT,MSFT,1/17/2020,ARETE,SHEPHERD      A,6,BUY,2,BUY,5238,77869,1,7:52:22,1/17/2020,7:52:22,1/17/2020,3:47:00
MSFT,59491810,MICROSOFT,MSFT,4/4/2020,ARETE,SHEPHERD      A,3,NEUTRAL,3,HOLD,5238,77869,1,0:40:21,10/22/2020,23:05:58,4/2/2020,6:24:00
MSFT,59491810,MICROSOFT,MSFT,4/10/2020,TIGRESS,FEINSETH      I,2,BUY,2,BUY,41346,168478,1,8:45:47,4/10/2020,8:45:47,4/10/2020,3:32:00
MSFT,59491810,MICROSOFT,MSFT,4/27/2020,RBCDOMIN,ZUKIN         A,2,OUTPERFORM,2,BUY,659,159235,1,15:23:46,1/25/2023,3:42:45,4/27/2020,7:15:00
MSFT,59491810,MICROSOFT,MSFT,5/27/2020,SUMRES,NANDURY       S,1,BUY,2,BUY,41285,160889,1,0:56:05,11/2/2020,15:11:25,5/26/2020,21:49:00
MSFT,59491810,MICROSOFT,MSFT,6/18/2020,FUNDARES,RAJEEV        S,1,BUY,2,BUY,41657,166271,1,3:38:35,10/28/2020,14:50:45,6/17/2020,23:10:00
MSFT,59491810,MICROSOFT,MSFT,7/23/2020,FAHN,HORAN         T,3,PERFORM,3,HOLD,836,47136,1,9:03:04,10/28/2020,10:22:27,7/23/2020,6:45:00
MSFT,59491810,MICROSOFT,MSFT,7/27/2020,MORGAN,WEISS         K,2,OVERWT/IN-LINE,2,BUY,1595,118219,1,19:34:29,3/5/2021,0:16:21,7/27/2020,19:30:00
MSFT,59491810,MICROSOFT,MSFT,11/2/2020,KIWOOM,RESEARCH DEPA,1,BUY,1,STRONG BUY,19321,125696,1,12:47:41,2/3/2021,23:56:35,11/2/2020,9:37:00
MSFT,59491810,MICROSOFT,MSFT,11/4/2020,FAHN,HORAN         T,1,OUTPERFORM,1,STRONG BUY,836,47136,1,19:26:25,3/14/2023,23:22:01,11/4/2020,17:20:00
MSFT,59491810,MICROSOFT,MSFT,11/23/2020,MCDONALD,TURITS        M,1,OVERWEIGHT,2,BUY,1485,49685,1,16:13:04,1/23/2023,15:18:25,11/23/2020,16:11:00
MSFT,59491810,MICROSOFT,MSFT,12/16/2020,MERRILL,SILLS         B,1,BUY,1,STRONG BUY,1534,123255,1,6:19:18,3/7/2023,8:00:01,12/16/2020,6:04:00
MSFT,59491810,MICROSOFT,MSFT,1/24/2021,BAPTISTA,MAJUMDAR      I,3,HOLD,3,HOLD,41712,194536,1,23:22:58,1/24/2021,23:22:58,1/24/2021,12:48:00
MSFT,59491810,MICROSOFT,MSFT,1/27/2021,FUNDARES,RAJEEV        S,2,HOLD,3,HOLD,41657,166271,1,20:35:12,7/27/2022,18:04:40,1/27/2021,20:34:00
MSFT,59491810,MICROSOFT,MSFT,3/8/2021,GOLDMAN,RANGAN        K,1,BUY,2,BUY,1020,40322,1,18:07:12,3/13/2023,18:10:45,3/8/2021,17:35:00
MSFT,59491810,MICROSOFT,MSFT,3/8/2021,MORGAN,WEISS         K,1,OVERWT/ATTRACTIVE,2,BUY,1595,118219,1,19:30:34,3/16/2023,18:19:08,3/8/2021,19:27:00
MSFT,59491810,MICROSOFT,MSFT,4/20/2021,CRISPIDE,AGARWAL       A,1,BUY,2,BUY,39591,193437,1,22:52:36,11/8/2022,8:22:27,4/20/2021,8:26:00
