TICKER,CUSIP,OFTIC,CNAME,STATPERS,MEASURE,FISCALP,FPI,ESTFLAG,CURCODE,NUMEST,NUMUP,NUMDOWN,MEDEST,MEANEST,STDEV,HIGHEST,LOWEST,USFIRM,FPEDATS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT,CURR_ACT
MSFT,59491810,MSFT,MICROSOFT,1/16/2020,EPS,ANN,1,P,USD,34,3,1,5.39,5.39,0.1,5.72,5.23,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,2/20/2020,EPS,ANN,1,P,USD,32,33,0,5.68,5.69,0.09,6,5.47,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,3/19/2020,EPS,ANN,1,P,USD,32,0,10,5.67,5.66,0.1,6,5.46,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,4/16/2020,EPS,ANN,1,P,USD,32,1,14,5.61,5.61,0.13,6,5.36,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,5/14/2020,EPS,ANN,1,P,USD,30,26,6,5.68,5.69,0.03,5.81,5.65,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,6/18/2020,EPS,ANN,1,P,USD,33,1,0,5.69,5.69,0.04,5.81,5.65,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,7/16/2020,EPS,ANN,1,P,USD,32,1,8,5.69,5.69,0.05,5.81,5.6,1,6/30/2020,5.76,7/22/2020,16:03:00,USD
MSFT,59491810,MSFT,MICROSOFT,8/20/2020,EPS,ANN,1,P,USD,32,31,1,6.49,6.46,0.19,6.94,6.16,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,9/17/2020,EPS,ANN,1,P,USD,32,2,0,6.49,6.46,0.19,6.94,6.16,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,10/15/2020,EPS,ANN,1,P,USD,32,2,2,6.49,6.46,0.18,6.94,6.16,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,11/19/2020,EPS,ANN,1,P,USD,32,32,0,6.78,6.76,0.18,7.35,6.51,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,12/17/2020,EPS,ANN,1,P,USD,33,1,1,6.77,6.75,0.17,7.35,6.51,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,1/14/2021,EPS,ANN,1,P,USD,32,1,0,6.78,6.75,0.17,7.35,6.51,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,2/18/2021,EPS,ANN,1,P,USD,33,30,0,7.39,7.38,0.19,7.73,6.56,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,3/18/2021,EPS,ANN,1,P,USD,32,2,0,7.39,7.4,0.12,7.73,7.1,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,4/15/2021,EPS,ANN,1,P,USD,32,0,1,7.39,7.4,0.12,7.73,7.1,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,5/20/2021,EPS,ANN,1,P,USD,29,32,1,7.8,7.79,0.06,7.87,7.52,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,6/17/2021,EPS,ANN,1,P,USD,30,1,0,7.8,7.77,0.13,7.87,7.16,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,7/15/2021,EPS,ANN,1,P,USD,31,0,1,7.8,7.77,0.13,7.87,7.16,1,6/30/2021,8.05,7/27/2021,16:02:00,USD
MSFT,59491810,MSFT,MICROSOFT,8/19/2021,EPS,ANN,1,P,USD,34,33,1,8.74,8.75,0.28,9.34,8.09,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,9/16/2021,EPS,ANN,1,P,USD,36,3,0,8.75,8.8,0.32,9.89,8.09,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,10/14/2021,EPS,ANN,1,P,USD,36,3,1,8.76,8.79,0.24,9.34,8.39,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,11/18/2021,EPS,ANN,1,P,USD,24,34,0,9.19,9.2,0.21,9.7,8.85,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,12/16/2021,EPS,ANN,1,P,USD,26,1,1,9.19,9.2,0.2,9.7,8.85,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,1/20/2022,EPS,ANN,1,P,USD,30,4,0,9.21,9.22,0.19,9.7,8.85,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,2/17/2022,EPS,ANN,1,P,USD,25,35,4,9.34,9.35,0.11,9.59,9.07,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,3/17/2022,EPS,ANN,1,P,USD,26,1,0,9.34,9.35,0.11,9.59,9.07,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,4/14/2022,EPS,ANN,1,P,USD,25,1,5,9.34,9.33,0.1,9.59,9.07,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,5/19/2022,EPS,ANN,1,P,USD,27,15,21,9.32,9.38,0.16,9.9,9.27,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,6/16/2022,EPS,ANN,1,P,USD,25,2,18,9.28,9.3,0.06,9.46,9.24,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,7/14/2022,EPS,ANN,1,P,USD,25,1,7,9.28,9.31,0.11,9.75,9.23,1,6/30/2022,9.21,7/26/2022,16:09:00,USD
MSFT,59491810,MSFT,MICROSOFT,8/18/2022,EPS,ANN,1,P,USD,39,1,36,10.07,10.13,0.17,10.64,9.93,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,9/15/2022,EPS,ANN,1,P,USD,41,1,4,10.08,10.13,0.17,10.64,9.88,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,10/20/2022,EPS,ANN,1,P,USD,43,0,21,10.04,10.04,0.23,10.64,9.54,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,11/17/2022,EPS,ANN,1,P,USD,44,0,44,9.52,9.55,0.16,10.01,9.26,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,12/15/2022,EPS,ANN,1,P,USD,44,0,0,9.52,9.55,0.16,10.01,9.26,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,1/19/2023,EPS,ANN,1,P,USD,46,9,7,9.52,9.6,0.32,11.21,9.23,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,2/16/2023,EPS,ANN,1,P,USD,21,4,39,9.38,9.36,0.16,9.72,9.02,1,6/30/2023,,,,
MSFT,59491810,MSFT,MICROSOFT,3/16/2023,EPS,ANN,1,P,USD,23,3,1,9.36,9.36,0.16,9.72,9.02,1,6/30/2023,,,,
